iter	Passed	Remaining
411	3892	5555
412	3907	5553
413	3945	5584
414	3950	5569
415	3957	5555
416	3963	5540
417	3967	5523
418	3971	5507
419	3977	5493
420	3984	5479
421	3991	5467
422	3997	5453
423	4009	5446
424	4015	5432
425	4020	5416
426	4025	5402
427	4031	5387
428	4036	5372
429	4041	5357
430	4047	5343
431	4053	5329
432	4058	5313
433	4066	5302
434	4071	5287
435	4076	5273
436	4080	5257
437	4085	5242
438	4092	5229
439	4098	5215
440	4106	5204
441	4111	5189
442	4116	5175
443	4136	5179
444	4141	5164
445	4145	5149
446	4150	5134
447	4155	5120
448	4162	5107
449	4169	5096
450	4174	5081
451	4181	5069
452	4185	5054
453	4190	5039
454	4196	5027
455	4202	5013
456	4212	5004
457	4216	4990
458	4233	4990
459	4239	4976
460	4248	4966
461	4254	4953
462	4261	4942
463	4266	4928
464	4272	4915
465	4277	4901
466	4284	4889
467	4293	4880
468	4300	4868
469	4304	4854
470	4310	4841
471	4321	4834
472	4326	4820
473	4331	4807
474	4336	4793
475	4344	4782
476	4349	4768
477	4353	4754
478	4357	4740
479	4362	4726
480	4369	4714
481	4376	4703
482	4381	4690
483	4387	4677
484	4411	4684
485	4416	4670
486	4431	4668
487	4435	4653
488	4439	4639
489	4444	4625
490	4449	4612
491	4456	4601
492	4466	4593
493	4475	4584
494	4483	4574
495	4488	4561
496	4615	4671
497	4621	4659
498	4627	4646
499	4632	4632
500	4637	4618
501	4645	4608
502	4651	4596
503	4656	4582
504	4663	4571
505	4668	4557
506	4672	4543
507	4678	4531
508	4683	4517
509	4688	4505
510	4693	4491
511	4698	4478
512	4703	4465
513	4709	4453
514	4715	4440
515	4771	4475
516	4780	4466
517	4790	4457
518	4795	4444
519	4800	4431
520	4805	4418
521	4811	4405
522	4816	4393
523	4826	4383
524	4831	4371
525	4837	4359
526	4842	4345
527	4847	4333
528	4852	4320
529	4858	4308
530	4863	4295
531	4868	4282
532	4890	4284
533	4896	4273
534	4901	4260
535	4907	4248
536	4912	4235
537	4918	4223
538	4923	4210
539	4928	4198
540	4932	4185
541	4943	4177
542	4951	4166
543	4956	4154
544	4962	4143
545	4967	4130
546	4974	4119
547	4980	4107
548	4984	4094
549	4988	4081
550	4998	4072
551	5005	4062
552	5018	4056
553	5022	4043
554	5029	4032
555	5034	4020
556	5041	4009
557	5047	3998
558	5052	3986
559	5059	3975
560	5065	3964
561	5071	3952
562	5075	3939
563	5087	3932
564	5092	3921
565	5097	3908
566	5102	3896
567	5107	3884
568	5113	3873
569	5118	3861
570	5125	3851
571	5132	3840
572	5141	3831
573	5146	3819
574	5151	3807
575	5156	3796
576	5162	3784
577	5167	3772
578	5173	3762
579	5187	3756
580	5192	3744
581	5197	3732
582	5202	3721
583	5207	3709
584	5212	3697
585	5217	3686
586	5223	3674
587	5230	3664
588	5236	3654
589	5243	3643
590	5247	3631
591	5259	3624
592	5264	3613
593	5269	3601
594	5273	3589
595	5408	3666
596	5426	3662
597	5431	3651
598	5437	3640
599	5442	3628
600	5449	3618
601	5454	3606
602	5458	3593
603	5463	3582
604	5468	3570
605	5473	3558
606	5486	3552
607	5493	3542
608	5500	3531
609	5507	3521
610	5515	3511
611	5520	3499
612	5574	3519
613	5588	3513
614	5601	3506
615	5608	3496
616	5614	3485
617	5619	3473
618	5626	3462
619	5634	3453
620	5638	3441
621	5645	3430
622	5649	3418
623	5653	3406
624	5666	3400
625	5673	3389
626	5678	3378
627	5699	3375
628	5713	3370
629	5723	3361
630	5731	3351
631	5770	3359
632	5775	3348
633	5787	3340
634	5793	3330
635	5798	3318
636	5803	3307
637	5809	3296
638	5816	3286
639	5822	3275
640	5829	3264
641	5835	3254
642	5844	3245
643	5851	3234
644	5856	3223
645	5861	3211
646	5869	3202
647	5875	3191
648	5882	3181
649	5887	3170
650	5893	3159
651	5898	3148
652	5905	3138
653	5909	3126
654	5914	3115
655	5919	3104
656	5924	3092
657	5929	3082
658	5935	3071
659	5947	3063
660	5953	3053
661	5958	3042
662	5966	3032
663	5972	3022
664	5977	3011
665	5983	3000
666	5988	2989
667	6000	2982
668	6007	2972
669	6013	2961
670	6018	2950
671	6024	2940
672	6034	2931
673	6039	2921
674	6059	2917
675	6065	2907
676	6072	2897
677	6079	2887
678	6083	2876
679	6088	2865
680	6093	2854
681	6098	2843
682	6104	2833
683	6108	2822
684	6114	2811
685	6119	2801
686	6124	2790
687	6128	2779
688	6133	2768
689	6137	2757
690	6141	2746
691	6153	2738
692	6158	2728
693	6163	2717
694	6168	2707
695	6175	2697
696	6181	2687
697	6187	2677
698	6199	2669
699	6205	2659
700	6209	2648
701	6213	2637
702	6218	2627
703	6222	2616
704	6234	2608
705	6240	2598
706	6249	2589
707	6254	2579
708	6259	2569
709	6264	2558
710	6346	2579
711	6355	2570
712	6363	2561
713	6368	2550
714	6373	2540
715	6379	2530
716	6384	2520
717	6389	2509
718	6395	2499
719	6401	2489
720	6407	2479
