iter	CrossEntropy
573	0.4184291643
574	0.4183962368
575	0.4183693576
576	0.4183496071
577	0.4183468943
578	0.418346892
579	0.418258996
580	0.4182589945
581	0.4182361234
582	0.4182361209
583	0.4182301243
584	0.4182301233
585	0.4182259858
586	0.4181969592
587	0.4181969572
588	0.4181814559
589	0.4181609141
590	0.4181609132
591	0.4181166356
592	0.4181151927
593	0.4181151926
594	0.4181151721
595	0.4177792151
596	0.4175865758
597	0.4175865756
598	0.4175475435
599	0.4175474044
600	0.4175130708
601	0.4175042504
602	0.417504229
603	0.4175042288
604	0.4174865287
605	0.4174575431
606	0.4173744817
607	0.417307255
608	0.4172716185
609	0.4172067474
610	0.4171417474
611	0.4171398495
612	0.4169437826
613	0.4169437789
614	0.4168348351
615	0.4168185358
616	0.4168038424
617	0.4168038411
618	0.4167793168
619	0.4167369115
620	0.4167369106
621	0.4167202368
622	0.4167202368
623	0.4167202368
624	0.4166337513
625	0.4166146636
626	0.4166062687
627	0.4166062687
628	0.41651587
629	0.4164866881
630	0.4164866416
631	0.4162905332
632	0.416290532
633	0.4162905308
634	0.4162804172
635	0.4162706686
636	0.4162706676
637	0.4162490552
638	0.4161684036
639	0.4161507378
640	0.4161256268
641	0.4161058419
642	0.41602589
643	0.4159725771
644	0.4159604507
645	0.4159604503
646	0.4158632433
647	0.4158061525
648	0.4158061525
649	0.4158061525
650	0.4157887631
651	0.4157812396
652	0.4157322994
653	0.4157322983
654	0.4157293939
655	0.4157230133
656	0.4157123067
657	0.4156492265
658	0.4156222833
659	0.41558464
660	0.4155655837
661	0.4155655803
662	0.4154700855
663	0.4154634768
664	0.4154619201
665	0.4154357649
666	0.4154357546
667	0.4153598149
668	0.4153487848
669	0.4153487752
670	0.4153487747
671	0.4153410818
672	0.415280084
673	0.4152800716
674	0.4151098054
675	0.4150888808
676	0.4150622415
677	0.4150555575
678	0.4150555497
679	0.4150554922
680	0.4150546014
681	0.4150435174
682	0.4150332147
683	0.4150332147
684	0.4150332137
685	0.4150332137
686	0.4150332136
687	0.4150271068
688	0.4150271065
689	0.4150271059
690	0.4150271057
691	0.4149710579
692	0.4149599539
693	0.4149484782
694	0.4149482039
695	0.4149420518
696	0.4149165428
697	0.4148924312
698	0.4148359321
699	0.4148133795
700	0.4148133781
701	0.414813378
702	0.4148133777
703	0.4148133775
704	0.4147968755
705	0.4147772993
706	0.4147338684
707	0.4147254006
708	0.4147086131
709	0.4146821831
710	0.4144531333
711	0.4144365659
712	0.4143862078
713	0.4143862075
714	0.4143723605
715	0.4143488931
716	0.4143293301
717	0.4143282201
718	0.4143157707
719	0.4142858552
720	0.414284797
721	0.4142847969
722	0.4142834053
723	0.4142365607
724	0.4142111856
725	0.4142111855
726	0.4141981717
727	0.4141977446
728	0.4141977441
729	0.4140499761
730	0.4140424212
731	0.4140408763
732	0.4140297724
733	0.4140219508
734	0.4139994916
735	0.4139925195
736	0.4139925195
737	0.4139925194
738	0.4139856554
739	0.4138026879
740	0.4138026877
741	0.4138026874
742	0.4138009975
743	0.4138009974
744	0.4138009973
745	0.4137691021
746	0.4137366644
747	0.4136732536
748	0.4136671733
749	0.4135508752
750	0.4135422505
751	0.4135421852
752	0.4135385966
753	0.4135240964
754	0.4135240964
755	0.4135132987
756	0.4134989473
757	0.4134328757
758	0.4134328757
759	0.4134328757
760	0.413432194
761	0.4134073226
762	0.4134034379
763	0.4133633617
764	0.4133538809
765	0.4133174984
766	0.4133150072
767	0.4133150072
768	0.4133006273
769	0.4133006273
770	0.4133006273
771	0.413236614
772	0.4132362446
773	0.413223323
774	0.4132044566
775	0.4132044566
776	0.4131338708
777	0.4131338708
778	0.4131338708
779	0.4131082257
780	0.4131082256
781	0.4131015515
782	0.413019503
783	0.4130119597
784	0.4130119596
785	0.4129843677
786	0.4129766946
787	0.4129515952
788	0.4129272487
789	0.4129216352
790	0.4129216092
791	0.4129135341
792	0.4128533499
793	0.4128526462
794	0.412852646
795	0.4128414915
796	0.4128414914
797	0.4128414912
798	0.4128172666
799	0.412810522
800	0.4127986728
801	0.4127986726
802	0.4127842748
803	0.4127595728
804	0.4127587162
805	0.412758715
806	0.412758715
807	0.4127586172
808	0.4127578166
809	0.4127395505
810	0.4127395504
811	0.4127318075
812	0.412731764
813	0.4127317639
814	0.4127217106
815	0.4127065186
816	0.4127065155
817	0.4126914582
818	0.4126914581
819	0.412686609
820	0.4126866089
821	0.412683856
822	0.4126838559
823	0.4126443157
824	0.412535364
825	0.4125141989
826	0.412396231
827	0.4121080335
828	0.4121080334
829	0.4121080333
830	0.4121070584
831	0.4121035317
832	0.4121008641
833	0.4121004294
834	0.4121004292
835	0.4121004291
836	0.4121004289
837	0.4120800752
838	0.4120110376
839	0.4120051591
840	0.4120048256
841	0.4119970614
842	0.4119679871
843	0.4119477836
844	0.4119477823
845	0.4118867595
846	0.4118823377
847	0.4118759327
848	0.4118619565
849	0.411803182
850	0.4117081787
851	0.4117077806
852	0.4116942384
853	0.4116248038
854	0.4115299916
855	0.4115218282
856	0.4115115858
857	0.4115115032
858	0.4115115032
859	0.4115115031
860	0.4115115031
861	0.411511503
862	0.411382848
863	0.4113718003
864	0.4113456046
865	0.4112916619
866	0.4112241187
867	0.4112241187
868	0.411096967
869	0.4110623547
870	0.4110623547
871	0.4110506624
872	0.4110429112
873	0.411042911
874	0.4110331436
875	0.4110331436
876	0.4110331048
877	0.4110064036
878	0.4110051338
879	0.4109344474
880	0.4109344474
881	0.410787754
882	0.410787754
883	0.4107818034
884	0.4107786431
885	0.4107259759
886	0.4107259759
887	0.4106987734
888	0.4106977567
889	0.4106965158
890	0.4106659659
891	0.4106618951
892	0.410661895
893	0.4106618943
894	0.4106618833
895	0.410658783
896	0.4106572244
897	0.4106572244
898	0.4106572243
899	0.4106030437
900	0.4106030406
901	0.4106030406
902	0.4105995298
903	0.4105668374
904	0.4105668374
905	0.4105668373
906	0.4105668372
907	0.410538339
908	0.4105288046
909	0.4105184133
910	0.4105178295
911	0.4105178294
912	0.4104894176
913	0.4104871818
914	0.410396526
915	0.4103856144
916	0.4103838293
917	0.4103691523
918	0.4103691272
919	0.4103691272
920	0.4103543072
921	0.4103543069
922	0.4103543066
923	0.4103543062
924	0.410354306
925	0.4103521045
926	0.4103148118
927	0.4103120403
928	0.4103114928
929	0.4102935572
930	0.4102740553
931	0.4102740552
932	0.4102740551
933	0.4102561769
934	0.4102516313
935	0.4102484929
936	0.4102417027
937	0.4102331424
938	0.4102171866
939	0.4102137725
940	0.4101421077
941	0.4100628486
942	0.4100524567
943	0.4100470909
944	0.4100470907
945	0.4099916713
946	0.4099891554
947	0.4095912999
948	0.4095912997
949	0.4095882698
950	0.4095797165
951	0.4095797163
952	0.4095797158
953	0.4095770668
954	0.4095770647
955	0.4095770637
956	0.4095744985
957	0.4095656448
958	0.409563675
959	0.4095623543
960	0.4095379495
961	0.4095379232
962	0.4095373471
963	0.4095373468
964	0.409524733
965	0.409519378
966	0.4094734141
967	0.4093950492
968	0.4093950491
969	0.4093841404
970	0.4093771336
971	0.4093765617
972	0.4093765592
973	0.4093496057
974	0.4093496042
975	0.4093483016
976	0.409337177
977	0.4093371644
978	0.4093290872
979	0.4093197043
980	0.4093126373
981	0.4093126373
982	0.4093082227
983	0.4092979417
984	0.4092875165
985	0.4092875165
986	0.409256611
987	0.4092566109
988	0.4092426386
989	0.4092372844
990	0.4092368553
991	0.409234772
992	0.409234772
993	0.4092347719
994	0.4092347517
995	0.4092347516
996	0.4092347516
997	0.4092118998
998	0.4092078349
999	0.4091899512
